"id","review","review_rating"
26,"They took what was great about the first and somehow made it twice as good. These games are still great for people looking for a challenge, but I would advise first-time players to play the series in order, as each game builds up from the hardest point of the previous one by making difficult-to-learn skills from the previous one rudimentary things you NEED to know in order to play the next, as well as adding a bunch of new tricks and surprises. But, even though there isn't as much actual &#34;Tomb Raiding&#34; in this one, it is definitely a step up from the previous version. Also includes an awesome bonus level at the end where Lara's house is raided by a Mafia strike team. Although, does not include the other bonus levels from the extended version of the game. (The extended version has two more levels, but it's only for the PC)",5
27,"A game that set the standard for the series IMO, clearly the newest one out there set the bar for the entire franchise though.",5
28,"Despite awkward controls that seem to be designed more for a computer than a Game System (and get used to it, because that lasts until the PS2 era-- aka, the sixth game in the series) this has to be one of the funnest games of all time. It gives a challenge on multiple levels & inspires you to keep playing to find out what happens next as things get progressively more dangerous and more bizarre. Was re-made as Tomb Raider: Anniversary, but I'd prefer the original any day.",5
29,"Brought this game for myself, it brought back memories when I was 6 playing this all summer long. Game came as described and fast also.",4
30,"The original Tomb Raider was a landmark game for the Playstation and the start of a very long running series. It holds up well, but is a definite acquired taste.Tomb Raider begins with adventurer and treasure huntress Lara Croft being hired by business woman Jacqueline Natla to search an ancient cavern in Peru for a piece of the Scion, an ancient talisman of great power. However, after finding the piece, Lara is betrayed by Jacqueline's men. Now it's a race across the world to find the remaining pieces of the Scion before Jacqueline attains its mythical power. Tomb Raider is an early Playstation game, and unfortunately the graphics haven't aged very well. Although many set pieces in the game are very impressive all the levels tend to feel very samey. Despite this the game's length is impressive. There are over fifteen massive levels with hidden caches of ammo and first aid packs, giving you a great sense of exploration throughout the game. Lara moves in a very stiff fashion. Her controls are tank-like and You have to hold down a button for her to walk. She takes very long jumps, but running jumps have a delay that requires you to plan your jumps ahead of time in most cases. Fortunately there is a training mission where Lara instructs you on how to play in her home. The game is primarily a puzzle platformer. Each level contains a series of puzzles that will test your problem solving skills.Scattered throughout the many ruins and caves are vicious animals and hired goons all chomping at the bit to impede your progress. This is where combat comes into play. Lara starts off the game with twin pistols that have unlimited ammo. Through out the game you will find a variety of firearms, however these weapons do have limited ammo, but the pistols ensure you will always have a fighting chance in battle.The last gameplay feature to talk about is the process of saving your game. The PC version of the game allowed the player to quicksave wherever they wanted. The console versions of the game on Playstation and Sega Saturn do not have this luxury. You can only save with the use of crystals that are placed along the path you are intended to follow. Unfortunately, once a crystal is used it is gone. This makes it really difficult when you've got a very long stretch ahead of you and not much health. Some areas have multiple crystals forcing you to carefully plan how often you save.This game has many flaws, but it is a very rewarding experience. I would recommend the game for those expecting a challenge. The later games in the Tomb Raider series ironed out many of the issues experienced here. If you're curious about the beginning of the franchise you won't be disappointed, but maybe a little stressed.For classic PC gamers I'd recommend Tomb Raider: Unfinished Business. This is the original game plus two bonus missions with two new levels a piece.",4
31,"The first installment in the series, turned many heads and imaginations of many.  A good flick if you're bored and looking for an adnventure.  Can tend to be frustrating.",4
32,"When I first got this game, I found it to be boring not too soon after getting it. When I play it today, I still think it's boring! WWF War Zone is the first real WWF wrestling game to be released on the Playstation. I don't really consider the In Your House game to be wrestling wise, but more Mortal Kombat like.War Zone is based off the WWF roster from late 1997 to early 1998, featuring only the most popular stars in the game . Among the wrestlers in this game, you can choose to play as Stone Cold Steve Austin, Shawn Michaels, Bret Hart, The Undertaker, The Rock, Triple H, Mankind, Goldust, Owen Hart, Ahmed Johnson, Farrooq, British Bulldog, Ken Shamrock, and The Headbangers.The opening of the game is cool, as you're given a Raw like intro that used to open Monday Night Raw back in the mid to late 90s. From there on, you're taken to the menu screen that's in the form of an elevator. In the menu you can look at the wrestlers' biographies that let you listen to their theme and see their attires they wear in the game. There's also a Training mode on the menu that lets you pick a wrestler and learn how to perform their moves before you go into the game.Once you enter the game, you can either play Exhibition matches to get adjusted to everything or go straight to Challenge Mode. Among the match types available are Singles, Tag Team, Tornado Tag Team, Hardcore, or Steel Cage. The Steel Cage match is probably the most frustrating match to play. When you climb the cage, I didn't know what button to push to climb down. I pushed down but I just ended up climbing back down to the ring. I lost most of the Cage matches.Challenge Mode involves you choosing a superstar to play as and guide them to the World Championship. Unfortunately this was a boring and irritating mode to play. Once you play one match, you've played them all. You have to fight the same opponents at least 4 or 5 times before you advance to newer ones. As you progress through, you'll be met by a woman in a limo in the parking lot who will either show interest you for winning a match or insult you for losing a match. Oh yeah, that's another thing. If you lose 1 or 2 matches, you're automatically sent back to the beginning and have to start over from match 1 to go up. It ultimately screws you over and you're forced to play a lot of the same boring matches again.Overall: I found War Zone boring then and I find it boring now. In my opinion In Your House is more fun to play than this. Even the sequel game to War Zone, Attitude, is more fun to play than War Zone. So if you don't want to be bored, skip War Zone and buy In Your House or Attitude instead",2
33,"I enjoy the shows and PPVs. this one is a great one to get if you like wwf wrestling .",5
34,"I liked all of the tricks you can play being a kid. I like being a kid rather than an adult sometimes. The boards look cool.",5
35,"I love the Nintendo 64! I still play some games occasionally and this one was always a fun one. It will frustrate you though!",5
36,"hard to find game most anywhere and only had the opportunity to rent it a while back and wanted to play again. a lot like D and D I was told.",4
37,"Great game!",5
38,"Not one of the best games. I would have rather played Mario just once. I only play it for about two minutes. I fall asleep afterward.",2
39,"I'm so glad I was able to buy this game at a great price. I really enjoyed reliving my childhood.",5
40,"Well let&#8217;s end the Crash Bandicoot trilogy on PlayStation with Crash Bandicoot 3: Warped. This game was released in 1998 and was once again, developed by Naughty Dog, published by Sony Computer Entertainment and distributed by Universal Interactive Studios. It was originally a PlayStation exclusive but was later re-released as a PS One Classic on the PlayStation Store.The game&#8217;s story takes place immediately after the events of the second game in which the ruins of the Cortex Vortex come crashing down to Earth and lands on a temple unleashing an evil entity known as Uka Uka who is Aku Aku&#8217;s evil twin brother; Aku Aku is the mask that helped Crash out in the first two games. Uka Uka joins with Doctor Neo Cortex and Doctor Nefarious Tropy as they plan to gather Crystals in their original places in time and use their energy to enslave the Earth.The game is once again a platformer with pretty much the same kind of controls as the second game. You can not only play as Crash but also as his sister Coco who was a supporting character in the second game. You travel back and forward in time to gather the 25 Crystals from the previous game in their original places in time before the enemy does; but don&#8217;t worry, the levels are completely different from each the second game. The game takes place in the Time-Twisting Machine which acts as the hub area of the game. The machine is split into five chambers with only the first chamber being available at the start. Each chamber has five buttons that open portals to different levels. The goal is the same as the second game; obtain the crystal hidden in the area. Some crystals can be obtained in the middle of the level or by completing a certain task such as winning a race. The gems are also back and can only be obtained by destroying all the boxes, or completing a hidden level or task. Once you obtain the five crystals in a chamber, a sixth button will appear that warps you to a boss who will fight you in order to get the crystals back. By defeating the boss, the next chamber will become available to play. By defeating a boss you unlock a new power, there&#8217;s the Super Slam which makes your body slam more powerful, the double jump, a tornado twister which lets you glide for a short period, a bazooka launcher which can be used to destroy crates or enemies or collect fruit and one ups and the running shoes which allow you to sprint.The newest main feature in the game is the &#8220;Relics&#8221; which can only be retrieved in a time trail mode for every level in the game. After you obtain a level&#8217;s crystal, you can go back to the level and collect the yellow clock at the beginning to start a time trail. The goal is to reach the end as fast as you can, but there are some differences: There are yellow time boxes that when destroyed will stop the clock for a short period of time, there are no checkpoint boxes so if you die, you have to start the level from the beginning; but there are plenty of Aku Aku masks to help you and that&#8217;s pretty much it. It proves to be very challenging and getting the Platinum relics is insanely difficult and even I never managed to get all of them.This game proves to be the best one in the entire series and one of my favorite games overall, period. I would highly recommend getting this game off the PlayStation Store for $6, this is a MUST PLAY. It really is one of the best.FINAL RATING:  10 out of 10",5
41,"I like this game but its not really fun its kinda boring. Its really confusing the game when you die you have too start over but i dont think you can press save. 5/10",3
42,"This game was awesome when I was little and owned my original N64, and it's still awesome to this day. You just can't outdo a good thing, and this game proves it.",5
43,"Brings back memories of days long gone by. As i've turned from kid to teen, from teen to young adult and some day to old man, the nostalgia and memory of my childhood in the '90s becomes ever more appealing to me. Back in the days of summer vacations, weekends off, few worries and fewer obligations and responsibilities.",5
44,"i play this game with the interact wheel this game is very fun not as good as the other ones thoe 8/10",5
45,"It plays great and i look forward to beating my fance. We place bets on who will win and the looser has to do the chores.",5
46,"I love this game this is the coolest game ever brings back great memories from my childhood playing this game it never gets old to play",5
47,"I have the wii version and is HORRIBLE. JUST LIKE YOU HIT AN OPPONENT WITH A SHELL, PASS, AND WITH NO ITEM, THE CPU BOOSTS WAY AHAED. HORRIBLE",1
48,"I was worried about getting this but I did anyways because I have been after it for a long time. I was worried because it was Used-Acceptable but it has played great so far (though I haven't gotten very far yet) So so far I am so glad I went ahead and ordered it.",5
49,"Love this game. Although the graphics aren't the best since it's N64 and earlier on.... I enjoy everything about it (still keeping in mind the limitations of the time such as the 'invisible walls' and oddly prism shaped bottles etc). The story is well done and unlike other Zelda games, all of the items are used. There were some early on copies with a song/chanting in the fire temple that got taken out in later copies because some people got offended by that and the mirror shield (I have one such copy) but even with that in mind, it's still an amazing game with great music and it sort of ties all of the zelda games together like a central hub. It all comes down to this game.... definitely worth your time to play.",5
50,"What can I say about this game? I bought it to replace one that was stolen when I was a kid. It's great to hear those classic sound effects and that legendary music. EPIC.",5
51,"One of the best video games ever.Redefined everything after it.My copy came in very good condition without scratches or writing",5
52,"The best game for the N64. if you are to have 5 games for the system it needs to be Mario 64, Mario Kart, Smash Bros, Banjo Kazooie, and Zelda",5
53,"I remembered a time my older brother borrowed this game from a friend of his. I liked it so much but when it came to the time for my brother to give it back i was upset. But no worries I was 7 at the time when that happened now that I'm older i was able to buy my own copy.",5
54,"This game is fun, but it is very overrated. It has not aged very well, and the game feels sloppy, compared to how revolutionary it was when it came out.",3
55,"The second one was the best in the series for me, still this was a good flick and many others just went off the deep end.  The newest one is by far the best in the series and a complete re-invention.",3
56,"Anyone who likes 007 would enjoy this game. great first person shooter! I will enjoy playing this game. The game play is a bit strange and hard to get use to because the aim and movement joysticks should be switched. The c pad on the N64 controller is hard to move with. Great game with practice!",5
57,"no idea to say about that have same with twisted metal 2-4 and twisted metal small brawl I haven't play for long time",5
58,"thank you for having this game and in its good conditionyou have increased my collection of games by one",5
59,"It's decent but probably the worst in the series. The level design is very poor and I dislike most of the characters. I'd recommend any other Twisted Metal besides this one.",3
60,"IF you're a collector then go for it, if not then this game is just more of the same.  It's still OK though.",3
61,"this is one old school fun game to fight against your friends.  you can not create any thing.  hours of fun from royal rumble to regular matches and there is quite a bit of people to play as.",5
62,"I should probably review some modern games while I'm here, but I've been kinda GTA'ed out recently, so I decided to put the PS3 away for a minute and bring up some old games from the past to see if they're just as fun as I remember them as.  One of those titles was WCW/nWo Revenge.Released during WCW's heyday (and roughly a few months before WCW's eventual downfall), the game showcases an astoundingly deep roster for game that came out in the 90s.  A total of 63 WCW/nWo wrestlers were divided up into different factions:  WCW 1 (main-event wrestlers), WCW 2 (mid-card wrestlers), WCW 3 (opening match wrestlers), WCW 4 (Cruiserweight wrestlers), nWo White, nWo Red, and Raven's Flock.  Further, there were roughly a dozen or so other wrestlers listed under the imaginary EWF and DAW leagues included in the game; these wrestlers were modeled after Japanese wrestling stars but had their likenesses changed to avoid copyright issues.The controls of the match are simple enough for anyone to jump in and learn, but you have to understand the psychology of wrestling (and use the controls accordingly) if you want to go deep into the championship modes of the game.  Players use the B button to strike, A button to initiate a grapple, the d-pad to move, and the joystick to either taunt or execute a special move.  The player can differentiate between a weak strike/grapple and a strong strike/grapple by holding the respective button down until the move is executed.  The more ""worn down"" your opponent is, the better chances you have of successfully hitting them with a strong attack.  Yet if you try to initiate a strong grapple on an opponent who's not worn down, they'll likely reverse the attack and counter with one of their own.  So much like real wrestling, you have to wear your opponent down with the weak attacks until you move up and hit them with the strong ones (and also like wrestling, it's a good idea to generate a response from the audience by letting out a taunt while your opponent's down.)  Once your spirit meter is full, you can strike an opponent with a special move by initiating a strong grapple and then moving the joystick (or alternately using the joystick when on the turnbuckle if the finisher's an aerial maneuver.)  The controls also allow you to run, leave the ring, block/counter an attack, dodge an attack, and set your focus on another opponent if you're involved in a handicap or tag team scenario.The game has several modes:  Championship, Exhibition, and Special Modes.  The exhibition mode is a singles or tag team match where the player can face either the computer, a friend, or a few friends since the game supports up to 4 players.  The championship modes allow the player to compete for the WCW TV Championship, the WCW Cruiserweight Championship, the WCW Tag Team Championship, the WCW United States Championship, and the grand-daddy of them all, the WCW World Heavyweight Championship (affectionately referred to as the Big Gold Belt.)  While the path to the Television titles and the Cruiserweight titles aren't terribly challenging, you will need to bring your ""A"" game when competing for the higher-tiered titles (or you can dial the difficulty down to Easy, either or.)  The special modes essentially allow the player to engage in specialty handicap or battle royal exhibition matches; with the former allowing for 2-on-1 or 3-on-1 battles while the latter will have 4 competitors fighting each other in the ring until one's eliminated, with the option to allow up to 40 contestants to enter the match.  You're also given a mode where you can customize the given wrestlers to either have different names or to have them wear different costumes.The upside to the game is that it's still fun to play, even 15 years later.  As I said earlier, anyone can pick up the controllers and jump in, while the subtle nuances of the game don't take much effort to figure out as you go along.  The soundtrack is limited but I don't ever think anyone confused WCW's entrance music with the music that Jim Johnston (of WWE fame) has released over the years (with the only exception being Goldberg's theme.)  The graphics were a work in progress considering where the franchise was at by the time WWF No Mercy was released, but it was still leaps and bounds better than what most expected from the gameplay of other systems at the time (as a reminder, this game was released for a console that is three generations removed from what's available today.)  If there was one drawback from the game, it's the limited gaming options that exist.  Once you beat the championship mode, that was essentially it as far as beating the game was concerned.  There were no steel cage match options, tag teams were limited to 2-on-2 action, and the create-a-wrestler option wouldn't be introduced until THQ/AKI began releasing titles for WWF.  Other gripes I have are that you can't seemingly control whether or not someone interferes on your behalf and the fact that the CPU can ""Hulk up"" their spirit meter rather effortlessly while the player has to do all the little things right to make that possible.With all that said, however, the game's fun factor makes it a legitimate ""must have"" for wrestling fans and should be considered by N64 fans who are looking for a beat-em-up button-masher where the top prize is the WCW Championship.  I recommend this to N64 gaming fans, wrestling fans, and people who watched wrestling ""when it was cool.""",4
63,"I had purchased quite a few games trying to find the one I remember. This game is fun and has a good roster of  characters. The moves are simple and the game is fun hours on end. A good way to relax after a tiring day.",4
64,"The best game for the nintendo 64 IS THIS! Yhis game rocks really it does its one of the best n64 game i have ever played 10/10",5
65,"mario was always kind if a hard game for me. i unlocked a lot of stars but a lot of the game went unlocked. i never did beat the whole thing. there are some cheats you can look up online for this game.",4
66,"this is wat made me love mario. mario 64!this is the biggest game crammed into a cartridge ive seen, its musically awesome, graphically it shows age, and the camera isnt as good as it could be, but I still havent beaten it since then! thats how massive & how much gameplay there is to it!I remember sliding down caves & smashing boulders back in the day, now that a friend sold it to me, Im in love with it!",4
67,"Where are all the green pipes!!!Why is there no coin counter for running around the Castle! There are coins all over the place! I want to collect a 100 coin castle star! Did you even think before you sent this to production BRO! Is this even this games final form?!?THE CAKE WAS A LIE!!!",5
68,"This is one of the best games ever made for the N64 console.It will always be a reminder of my younger years and my kids love it.",5
69,"This is easily the best game I've ever played.  I played it back when it was first released for the N64 and at the time there was nothing else like it on any of the other platforms. It led the way for 3d gaming which is of course the norm now.  To this day I still get nostalgic and pop the cartridge in on occasion just to run around in the various worlds. The graphics still look pretty good and the game play is still fun.  A simply incredible game.",5
70,"the only SHUMP on the 64 i figured i'd check it out... it plays like a genesis game with crude 3D backgrounds. not very interesting to look at. if you want SHUMP there's only one system for you and it's called the dreamcast. this one you can pass on.",2
71,"I've had a great time with this one, you can pick from 3 alternative but well balanced ships, play with a comfortable control scheme, rake high scores and combos, use powerful special weapons, collect and preserve power-ups by staying alive, deflect shots by doing rolls and are complimented with a remarkable, engaging soundtrack. The power-ups are what make this game stand out because the ships seem to upgrade almost endlessly until you're firing more powerful and voluminous attacks.I mentioned the controls before: between the D-pad, rolling with the right-shoulder button, firing special attacks with the left-shoulder and B buttons and keeping hold on the A button and firing strategically to maintain a shot combo, it's fun and easy to use. That being said, the missions in Vanishing Earth aren't easy by any means because you need to avoid hitting ships as well as being fired on and the bosses are particularly adept at relentlessly firing at you.However, players are offered consolation in that they can continue from the beginning of the mission after losing and can store a password if they'd like (personally, I enjoy staring over from the beginning so I can keep all the power-ups I earn). And even if you don't want to play the whole game, there's a fast 2 or 5 minute arcade-style mode where you earn as high a score as you can destroying enemy vessels with maximum power upgrade from the start.I had a lot of fun switching off with a friend but it's good for single player as well. Not as flawless as Super Star Soldier and I mean that particularly with regard to the visuals of the area you fly over not being as outstanding but overall it still looks good enough not to harm the fun; Vanishing Earth is also much easier to collect for than its TurboGrafx counterpart. If you can get the cartridge around 15 - 20 dollars, I say go for it because there's hours of enjoyable content that will leave you coming back for more.",5
72,"OMG!!! Seen it, wiped my eyes to see if it was real then of course bought and i have no regrets! Highly love south park and this game is amazing and it came to me mint condition and i was happy!!",5
73,"I love South Park! I remember walking around in middle school back in the 1990's with the South Park shirts on and everyone talking about the new episode! Times have changed but I still love South Park!",5
74,"This game still creeps me out! It's really fun to have those memories come flooding back as I whip my way through skeletons.",5
75,"classic game for the ps1. i love it and it still makes me smile like it did when i was a kid. the new verisions cant compare to the original! whether you are a 90s child trying to relive your childhood or want to share it with the new generation, you will have hours of fun with everyone's favorite purple dragon",5
76,"Great fun game I still enjoyed playing 10 years later. I got it at a great price too. Definitely buy this.",5
77,"I got a great deal on this used PS1 game. My girlfriend plays this classic game and enjoys it a lot. She's not much of a gamer. The disc seems to be in great condition with no scratches and plays perfectly. There's a few tiny &#34;cracks&#34; within the inner ring of the disc, but this is common and DOES NOT affect the actual disc itself. It seems like an alright game to me, just not my style, which is why I gave it a 4/5. But a lot of people seem to like this game. It's a great kids game as well.",4
78,"This game rules, this game is a classic and it rules. 10 out of 10 one of my favorites. But this is all nostalgic opinion, still 10/10",5
79,"One of the best survival horror games of all time. If ya don't know, now ya know...",5
80,"lol",5
81,"A bad ass game live the whole series on the game so far they did a great job on making these games and lost this one and had to have it again",5
